date,new_cases,new_deaths
2020-02-28,1.0,
2020-02-29,3.0,
2020-03-01,1.0,
2020-03-02,0.0,
2020-03-03,0.0,
2020-03-04,0.0,
2020-03-05,0.0,
2020-03-06,1.0,
2020-03-07,0.0,
2020-03-08,1.0,
2020-03-09,0.0,
2020-03-10,0.0,
2020-03-11,1.0,
2020-03-12,4.0,
2020-03-13,14.0,
2020-03-14,15.0,
2020-03-15,12.0,
2020-03-16,29.0,
2020-03-17,11.0,
2020-03-18,25.0,
2020-03-19,46.0,1.0
2020-03-20,39.0,1.0
2020-03-21,48.0,0.0
2020-03-22,65.0,1.0
2020-03-23,51.0,1.0
2020-03-24,38.0,1.0
2020-03-25,70.0,1.0
2020-03-26,110.0,2.0
2020-03-27,132.0,4.0
2020-03-28,131.0,4.0
2020-03-29,145.0,4.0
2020-03-30,101.0,8.0
2020-03-31,121.0,1.0
2020-04-01,163.0,8.0
2020-04-02,132.0,13.0
2020-04-03,178.0,10.0
2020-04-04,202.0,19.0
2020-04-05,253.0,15.0
2020-04-06,296.0,31.0
2020-04-07,346.0,16.0
2020-04-08,396.0,33.0
2020-04-09,260.0,20.0
2020-04-10,403.0,39.0
2020-04-11,375.0,40.0
2020-04-12,442.0,23.0
2020-04-13,353.0,36.0
2020-04-14,385.0,74.0
2020-04-15,448.0,43.0
2020-04-16,450.0,37.0
2020-04-17,578.0,60.0
2020-04-18,622.0,104.0
2020-04-19,764.0,36.0
2020-04-20,511.0,26.0
2020-04-21,729.0,145.0
2020-04-22,1043.0,113.0
2020-04-23,1089.0,99.0
2020-04-24,1239.0,152.0
2020-04-25,970.0,84.0
2020-04-26,835.0,46.0
2020-04-27,852.0,83.0
2020-04-28,1223.0,135.0
2020-04-29,1047.0,163.0
2020-04-30,1425.0,127.0
2020-05-01,1515.0,113.0
2020-05-02,1349.0,89.0
2020-05-03,1383.0,93.0
2020-05-04,1434.0,117.0
2020-05-05,1120.0,236.0
2020-05-06,1609.0,197.0
2020-05-07,1982.0,257.0
2020-05-08,1906.0,199.0
2020-05-09,1938.0,193.0
2020-05-10,1562.0,112.0
2020-05-11,1305.0,108.0
2020-05-12,1997.0,353.0
2020-05-13,1862.0,294.0
2020-05-14,2409.0,257.0
2020-05-15,2437.0,290.0
2020-05-16,2112.0,278.0
2020-05-17,2075.0,132.0
2020-05-18,2414.0,155.0
2020-05-19,2713.0,334.0
2020-05-20,2248.0,424.0
2020-05-21,2973.0,420.0
2020-05-22,2960.0,479.0
2020-05-23,3329.0,190.0
2020-05-24,2764.0,215.0
2020-05-25,2485.0,239.0
2020-05-26,3455.0,501.0
2020-05-27,3463.0,463.0
2020-05-28,3377.0,447.0
2020-05-29,3227.0,371.0
2020-05-30,2885.0,364.0
2020-05-31,3152.0,151.0
2020-06-01,2771.0,237.0
2020-06-02,3891.0,470.0
2020-06-03,3912.0,1092.0
2020-06-04,4442.0,816.0
2020-06-05,4346.0,625.0
2020-06-06,3593.0,341.0
2020-06-07,3484.0,188.0
2020-06-08,2999.0,354.0
2020-06-09,4199.0,596.0
2020-06-10,4883.0,708.0
2020-06-11,4790.0,587.0
2020-06-12,5222.0,504.0
2020-06-13,3494.0,424.0
2020-06-14,4147.0,269.0
2020-06-15,3427.0,439.0
2020-06-16,4599.0,730.0
2020-06-17,4930.0,770.0
2020-06-18,5662.0,667.0
2020-06-19,5030.0,647.0
2020-06-20,4717.0,387.0
2020-06-21,5343.0,1044.0
2020-06-22,4577.0,759.0
2020-06-23,6288.0,793.0
2020-06-24,5437.0,947.0
2020-06-25,6104.0,736.0
2020-06-26,5441.0,719.0
2020-06-27,4410.0,602.0
2020-06-28,4050.0,267.0
2020-06-29,3805.0,473.0
2020-06-30,5432.0,648.0
2020-07-01,5681.0,741.0
2020-07-02,6741.0,679.0
2020-07-03,6740.0,654.0
2020-07-04,6914.0,523.0
2020-07-05,4683.0,273.0
2020-07-06,4902.0,480.0
2020-07-07,6258.0,895.0
2020-07-08,6995.0,782.0
2020-07-09,7280.0,730.0
2020-07-10,6891.0,665.0
2020-07-11,6094.0,539.0
2020-07-12,4482.0,276.0
2020-07-13,4685.0,485.0
2020-07-14,7051.0,836.0
2020-07-15,6149.0,579.0
2020-07-16,6406.0,668.0
2020-07-17,7257.0,736.0
2020-07-18,7615.0,578.0
2020-07-19,5311.0,296.0
2020-07-20,5172.0,301.0
2020-07-21,6859.0,915.0
2020-07-22,6019.0,790.0
2020-07-23,8438.0,718.0
2020-07-24,7573.0,737.0
2020-07-25,6751.0,729.0
2020-07-26,5480.0,306.0
2020-07-27,4973.0,342.0
2020-07-28,7208.0,854.0
2020-07-29,5752.0,485.0
2020-07-30,7730.0,639.0
2020-07-31,8458.0,688.0
2020-08-01,9556.0,784.0
2020-08-02,4853.0,274.0
2020-08-03,4767.0,266.0
2020-08-04,6148.0,857.0
2020-08-05,6139.0,829.0
2020-08-06,6590.0,819.0
2020-08-07,6717.0,794.0
2020-08-08,6495.0,695.0
2020-08-09,4376.0,292.0
2020-08-10,5558.0,705.0
2020-08-11,6686.0,926.0
2020-08-12,5858.0,737.0
2020-08-13,7371.0,627.0
2020-08-14,5618.0,615.0
2020-08-15,6345.0,635.0
2020-08-16,4448.0,214.0
2020-08-17,3571.0,266.0
2020-08-18,5506.0,751.0
2020-08-19,5792.0,707.0
2020-08-20,6775.0,625.0
2020-08-21,5928.0,504.0
2020-08-22,6482.0,644.0
2020-08-23,3948.0,226.0
2020-08-24,3541.0,320.0
2020-08-25,4916.0,650.0
2020-08-26,5267.0,626.0
2020-08-27,6026.0,518.0
2020-08-28,5824.0,552.0
2020-08-29,5974.0,673.0
2020-08-30,4129.0,339.0
2020-08-31,3719.0,256.0
2020-09-01,6476.0,827.0
2020-09-02,4921.0,575.0
2020-09-03,5937.0,513.0
2020-09-04,6196.0,522.0
2020-09-05,6319.0,475.0
2020-09-06,4614.0,232.0
2020-09-07,3486.0,223.0
2020-09-08,5351.0,703.0
2020-09-09,4461.0,565.0
2020-09-10,5043.0,600.0
2020-09-11,5935.0,534.0
2020-09-12,5674.0,421.0
2020-09-13,4408.0,217.0
2020-09-14,3335.0,228.0
2020-09-15,4771.0,629.0
2020-09-16,4444.0,300.0
2020-09-17,3182.0,201.0
2020-09-18,4841.0,624.0
2020-09-19,5167.0,455.0
2020-09-20,3542.0,235.0
2020-09-21,2917.0,204.0
2020-09-22,4683.0,651.0
2020-09-23,4786.0,601.0
2020-09-24,5408.0,490.0
2020-09-25,5401.0,405.0
2020-09-26,5573.0,399.0
2020-09-27,3886.0,187.0
2020-09-28,3400.0,173.0
2020-09-29,4446.0,560.0
2020-09-30,5053.0,483.0
2020-10-01,5099.0,432.0
2020-10-02,4775.0,414.0
2020-10-03,4863.0,388.0
2020-10-04,3712.0,208.0
2020-10-05,28115.0,
2020-10-06,4828.0,471.0
2020-10-07,4580.0,378.0
2020-10-08,5300.0,370.0
2020-10-09,5532.0,401.0
2020-10-10,4308.0,145.0
2020-10-11,3175.0,139.0
2020-10-12,3542.0,164.0
2020-10-13,4295.0,475.0
2020-10-14,4056.0,478.0
2020-10-15,5514.0,387.0
2020-10-16,6751.0,419.0
2020-10-17,5447.0,355.0
2020-10-18,4119.0,108.0
2020-10-19,3699.0,171.0
2020-10-20,5788.0,555.0
2020-10-21,6845.0,522.0
2020-10-22,6612.0,0.0
2020-10-23,6604.0,897.0
2020-10-24,6025.0,431.0
2020-10-25,4360.0,181.0
2020-10-26,4166.0,247.0
2020-10-27,5942.0,643.0
2020-10-28,5595.0,495.0
2020-10-29,5948.0,464.0
2020-10-30,6000.0,516.0
2020-10-31,6151.0,464.0
2020-11-01,4430.0,142.0
2020-11-02,3763.0,205.0
2020-11-03,5250.0,493.0
2020-11-04,5225.0,635.0
2020-11-05,5567.0,544.0
2020-11-06,5931.0,551.0
2020-11-07,6810.0,485.0
2020-11-08,5887.0,219.0
2020-11-09,4960.0,198.0
2020-11-10,5746.0,617.0
2020-11-11,7646.0,588.0
2020-11-12,5658.0,626.0
2020-11-13,5558.0,568.0
2020-11-14,5860.0,635.0
2020-11-15,3269.0,283.0
2020-11-16,2874.0,319.0
2020-11-17,1757.0,165.0
2020-11-18,3918.0,502.0
2020-11-19,4472.0,576.0
2020-11-20,6426.0,719.0
2020-11-21,6719.0,550.0
2020-11-22,9187.0,303.0
2020-11-23,7483.0,250.0
2020-11-24,10794.0,813.0
2020-11-25,10335.0,858.0
2020-11-26,8107.0,645.0
2020-11-27,12081.0,631.0
2020-11-28,10728.0,586.0
2020-11-29,5668.0,196.0
2020-11-30,6472.0,285.0
2020-12-01,8819.0,825.0
2020-12-02,11251.0,800.0
2020-12-03,11030.0,608.0
2020-12-04,12127.0,690.0
2020-12-05,11625.0,593.0
2020-12-06,7455.0,261.0
2020-12-07,6399.0,357.0
2020-12-08,11006.0,800.0
2020-12-09,11974.0,781.0
2020-12-10,11897.0,671.0
2020-12-11,12253.0,693.0
2020-12-12,12057.0,685.0
2020-12-13,8608.0,249.0
2020-12-14,5930.0,345.0
2020-12-15,11228.0,801.0
2020-12-16,10297.0,670.0
2020-12-17,11799.0,718.0
2020-12-18,12248.0,762.0
2020-12-19,12129.0,627.0
2020-12-20,6870.0,326.0
2020-12-21,5370.0,396.0
2020-12-22,12511.0,897.0
2020-12-23,11653.0,816.0
2020-12-24,12485.0,861.0
2020-12-25,9679.0,665.0
2020-12-26,4974.0,189.0
2020-12-27,6217.0,400.0
2020-12-28,5996.0,429.0
2020-12-29,12099.0,990.0
2020-12-30,12406.0,1052.0
2020-12-31,12159.0,910.0
2021-01-01,11091.0,700.0
2021-01-02,6359.0,344.0
2021-01-03,5211.0,362.0
2021-01-04,6464.0,544.0
2021-01-05,11271.0,1065.0
2021-01-06,13345.0,1165.0
2021-01-07,13734.0,1044.0
2021-01-08,14362.0,1038.0
2021-01-09,16105.0,1135.0
2021-01-10,10003.0,502.0
2021-01-11,7594.0,662.0
2021-01-12,14395.0,1314.0
2021-01-13,15873.0,1235.0
2021-01-14,16468.0,999.0
2021-01-15,21366.0,1106.0
2021-01-16,20523.0,1219.0
2021-01-17,11170.0,463.0
2021-01-18,8074.0,544.0
2021-01-19,18894.0,1584.0
2021-01-20,20548.0,1539.0
2021-01-21,22339.0,1803.0
2021-01-22,21007.0,1440.0
2021-01-23,20057.0,1470.0
2021-01-24,10872.0,530.0
2021-01-25,8521.0,659.0
2021-01-26,17165.0,1743.0
2021-01-27,17944.0,1623.0
2021-01-28,18670.0,1506.0
2021-01-29,16374.0,1434.0
2021-01-30,15337.0,1495.0
2021-01-31,7030.0,462.0
2021-02-01,5448.0,564.0
2021-02-02,4384.0,433.0
2021-02-03,12153.0,1707.0
2021-02-04,0.0,0.0
2021-02-05,26626.0,3050.0
2021-02-06,13209.0,1496.0
2021-02-07,6065.0,414.0
2021-02-08,3868.0,531.0
2021-02-09,10738.0,1701.0
2021-02-10,11138.0,1328.0
2021-02-11,10677.0,1474.0
2021-02-12,10388.0,1323.0
2021-02-13,9741.0,1214.0
2021-02-14,4099.0,436.0
2021-02-15,3098.0,450.0
2021-02-16,8683.0,1329.0
2021-02-17,8988.0,1075.0
2021-02-18,9099.0,1047.0
2021-02-19,7829.0,857.0
2021-02-20,7785.0,832.0
2021-02-21,3104.0,310.0
2021-02-22,2252.0,429.0
2021-02-23,8634.0,1273.0
2021-02-24,8642.0,1006.0
2021-02-25,8462.0,877.0
2021-02-26,7512.0,782.0
2021-02-27,7246.0,783.0
2021-02-28,2810.0,458.0
2021-03-01,2343.0,437.0
2021-03-02,7913.0,1035.0
2021-03-03,7793.0,857.0
2021-03-04,7521.0,822.0
2021-03-05,6797.0,712.0
2021-03-06,6561.0,779.0
2021-03-07,2734.0,247.0
2021-03-08,1877.0,319.0
2021-03-09,7407.0,866.0
2021-03-10,6602.0,702.0
2021-03-11,6469.0,661.0
2021-03-12,6816.0,699.0
2021-03-13,6104.0,639.0
2021-03-14,2415.0,220.0
2021-03-15,1439.0,234.0
2021-03-16,1278.0,175.0
2021-03-17,6455.0,789.0
2021-03-18,6726.0,698.0
2021-03-19,5722.0,613.0
2021-03-20,5729.0,608.0
2021-03-21,2133.0,209.0
2021-03-22,1388.0,203.0
2021-03-23,5881.0,809.0
2021-03-24,5714.0,579.0
2021-03-25,5787.0,584.0
2021-03-26,5303.0,651.0
2021-03-27,5059.0,567.0
2021-03-28,1646.0,194.0
2021-03-29,1293.0,209.0
2021-03-30,5067.0,801.0
2021-03-31,5977.0,577.0
2021-04-01,5381.0,454.0
2021-04-02,3089.0,190.0
2021-04-03,1838.0,157.0
2021-04-04,1263.0,136.0
2021-04-05,1247.0,252.0
2021-04-06,4804.0,586.0
2021-04-07,5370.0,613.0
2021-04-08,5140.0,548.0
2021-04-09,5045.0,874.0
2021-04-10,6356.0,2192.0
2021-04-11,1793.0,126.0
2021-04-12,1627.0,364.0
2021-04-13,4512.0,580.0
2021-04-14,4894.0,530.0
2021-04-15,4189.0,401.0
2021-04-16,4504.0,480.0
2021-04-17,4157.0,535.0
2021-04-18,1506.0,111.0
2021-04-19,1308.0,127.0
2021-04-20,4262.0,582.0
2021-04-21,4639.0,549.0
2021-04-22,3708.0,498.0
2021-04-23,3911.0,409.0
2021-04-24,3308.0,349.0
2021-04-25,1653.0,94.0
2021-04-26,1143.0,166.0
2021-04-27,3592.0,434.0
2021-04-28,3818.0,371.0
2021-04-29,3990.0,529.0
2021-04-30,3821.0,460.0
2021-05-01,3025.0,261.0
2021-05-02,1093.0,65.0
2021-05-03,1027.0,112.0
2021-05-04,3064.0,395.0
2021-05-05,3021.0,267.0
2021-05-06,2846.0,166.0
2021-05-07,3043.0,484.0
2021-05-08,2743.0,271.0
2021-05-09,1175.0,57.0
2021-05-10,704.0,104.0
2021-05-11,1897.0,234.0
2021-05-12,3090.0,267.0
2021-05-13,3632.0,311.0
2021-05-14,2880.0,258.0
2021-05-15,2695.0,225.0
2021-05-16,1233.0,53.0
2021-05-17,822.0,56.0
2021-05-18,2767.0,253.0
2021-05-19,2000.0,104.0
2021-05-20,2628.0,230.0
2021-05-21,2604.0,176.0
2021-05-22,2586.0,341.0
2021-05-23,1274.0,50.0
2021-05-24,703.0,48.0
2021-05-25,2483.0,265.0
2021-05-26,2932.0,272.0
2021-05-27,3050.0,429.0
2021-05-28,3006.0,411.0
2021-05-29,2725.0,383.0
2021-05-30,1307.0,52.0
2021-05-31,932.0,61.0
2021-06-01,6917.0,
2021-06-02,3269.0,306.0
2021-06-03,2894.0,216.0
2021-06-04,2809.0,206.0
2021-06-05,2071.0,190.0
2021-06-06,1979.0,46.0
2021-06-07,881.0,34.0
2021-06-08,3449.0,262.0
2021-06-09,3855.0,253.0
2021-06-10,3672.0,227.0
2021-06-11,3282.0,243.0
2021-06-12,3649.0,274.0
2021-06-13,1707.0,53.0
2021-06-14,1175.0,37.0
2021-06-15,4250.0,241.0
2021-06-16,3789.0,196.0
2021-06-17,4253.0,168.0
2021-06-18,4098.0,167.0
2021-06-19,0.0,0.0
2021-06-20,5542.0,228.0
2021-06-21,1268.0,57.0
2021-06-22,4233.0,261.0
2021-06-23,4963.0,342.0
2021-06-24,5340.0,221.0
2021-06-25,5270.0,278.0
2021-06-26,5051.0,175.0
2021-06-27,2384.0,43.0
2021-06-28,1661.0,44.0
2021-06-29,5711.0,195.0
2021-06-30,6105.0,244.0
2021-07-01,6081.0,201.0
2021-07-02,5842.0,180.0
2021-07-03,6265.0,152.0
2021-07-04,2611.0,42.0
2021-07-05,1805.0,67.0
2021-07-06,7989.0,269.0
2021-07-07,8507.0,234.0
2021-07-08,9452.0,266.0
2021-07-09,9319.0,217.0
2021-07-10,9581.0,232.0
2021-07-11,3779.0,62.0
2021-07-12,3074.0,89.0
2021-07-13,11137.0,219.0
2021-07-14,12116.0,230.0
2021-07-15,12821.0,233.0
2021-07-16,12420.0,275.0
2021-07-17,12631.0,225.0
2021-07-18,4438.0,91.0
2021-07-19,5307.0,138.0
2021-07-20,13853.0,341.0
2021-07-21,15198.0,397.0
2021-07-22,16244.0,419.0
2021-07-23,0.0,0.0
2021-07-24,32244.0,690.0
2021-07-25,6535.0,108.0
2021-07-26,5920.0,171.0
2021-07-27,17408.0,484.0
2021-07-28,19028.0,537.0
2021-07-29,19223.0,381.0
2021-07-30,19346.0,459.0
2021-07-31,18809.0,450.0
2021-08-01,6740.0,128.0
2021-08-02,6506.0,245.0
2021-08-03,18911.0,657.0
2021-08-04,20685.0,611.0
2021-08-05,21569.0,618.0
2021-08-06,21563.0,568.0
2021-08-07,20018.0,515.0
2021-08-08,7573.0,172.0
2021-08-09,6513.0,270.0
2021-08-10,19555.0,786.0
2021-08-11,22711.0,727.0
2021-08-12,24975.0,608.0
2021-08-13,22758.0,603.0
2021-08-14,23642.0,753.0
2021-08-15,0.0,0.0
2021-08-16,16467.0,485.0
2021-08-17,14814.0,877.0
2021-08-18,28953.0,940.0
2021-08-19,23169.0,836.0
2021-08-20,21734.0,775.0
2021-08-21,20307.0,847.0
2021-08-22,7658.0,228.0
2021-08-23,6543.0,371.0
