date,Exportaciones,Importaciones
1993-01-01,3902028.9,5067290.1
1993-02-01,4010668.1,5338549.4
1993-03-01,4033876.1,5297412.8
1993-04-01,4204960.8,5473612.0
1993-05-01,4158052.0,5433985.3
1993-06-01,4423890.8,5537211.7
1993-07-01,4381213.0,5815561.5
1993-08-01,4179254.2,5209350.5
1993-09-01,4414503.4,5541024.4
1993-10-01,4781056.3,5581937.2
1993-11-01,4479535.6,5286958.4
1993-12-01,4810281.7,5722034.4
1994-01-01,4580315.0,6067923.6
1994-02-01,4756060.1,6403243.6
1994-03-01,4776997.8,6204615.8
1994-04-01,4764040.9,6434305.9
1994-05-01,4907597.8,6519022.9
1994-06-01,5097036.5,6711150.8
1994-07-01,5062686.9,6781958.2
1994-08-01,5049264.3,6695717.1
1994-09-01,5004246.2,6600018.0
1994-10-01,5350427.2,6973345.8
1994-11-01,5893888.3,7069655.2
1994-12-01,5593074.3,6960867.7
1995-01-01,6285779.3,6438240.1
1995-02-01,6330882.7,5964330.0
1995-03-01,6331373.6,6121221.0
1995-04-01,6221340.9,5533715.1
1995-05-01,6571337.5,5769955.5
1995-06-01,6546348.3,5854460.6
1995-07-01,6425252.5,5737436.0
1995-08-01,6953465.9,6166896.6
1995-09-01,7014761.2,6222563.5
1995-10-01,6730359.5,6032905.9
1995-11-01,6868266.7,6191477.9
1995-12-01,7245936.1,6473856.5
1996-01-01,7442074.8,6552597.4
1996-02-01,7401283.4,6884017.5
1996-03-01,7497231.8,6888960.6
1996-04-01,7753690.8,7160704.5
1996-05-01,7864864.1,7457858.4
1996-06-01,7692713.7,7031752.1
1996-07-01,7871911.8,7458857.0
1996-08-01,8061452.3,7652733.4
1996-09-01,8344783.4,7787552.7
1996-10-01,8399713.0,8108065.9
1996-11-01,8559483.4,8092020.2
1996-12-01,8592647.6,7663376.0
1997-01-01,8922296.0,8186078.5
1997-02-01,8640699.8,8289808.5
1997-03-01,8833755.3,8580517.2
1997-04-01,8901969.8,8786181.6
1997-05-01,8823875.5,8746384.9
1997-06-01,9258710.0,9100752.1
1997-07-01,9260402.7,9350155.7
1997-08-01,9231158.7,9383885.6
1997-09-01,9306713.7,9544038.5
1997-10-01,9540747.2,9650674.7
1997-11-01,9860013.1,9974012.9
1997-12-01,9663345.7,9862712.4
1998-01-01,9672148.3,10245760.4
1998-02-01,9588354.4,10289766.5
1998-03-01,9924561.5,10493951.0
1998-04-01,10021613.5,10543988.3
1998-05-01,9893341.5,10480137.4
1998-06-01,9673186.5,10296639.2
1998-07-01,9251431.8,10295707.5
1998-08-01,9390423.8,10234395.0
1998-09-01,9598841.2,10518292.2
1998-10-01,9830857.5,10500994.4
1998-11-01,10263117.1,10816143.9
1998-12-01,10320746.7,10593664.5
1999-01-01,10085848.1,10592089.0
1999-02-01,10363223.0,10799194.7
1999-03-01,10691453.0,11087734.6
1999-04-01,10763593.2,11313319.5
1999-05-01,11080966.8,11642728.5
1999-06-01,11345379.4,11812992.1
1999-07-01,11510508.8,11859728.3
1999-08-01,11778705.0,12145127.4
1999-09-01,11653392.2,12205932.1
1999-10-01,11880758.6,12506338.4
1999-11-01,12396003.6,12661726.8
1999-12-01,12470023.3,12850963.5
2000-01-01,13039067.9,13625086.1
2000-02-01,13486912.4,13703409.1
2000-03-01,12936976.8,13367046.0
2000-04-01,13154325.9,13860833.4
2000-05-01,13551897.1,14362674.9
2000-06-01,13813844.8,14429615.1
2000-07-01,13963348.1,14904642.3
2000-08-01,14352311.8,15099805.1
2000-09-01,14041519.4,15064735.7
2000-10-01,14680504.8,15249487.2
2000-11-01,14481160.4,15202605.2
2000-12-01,14534583.5,15430412.6
2001-01-01,13855552.5,14662029.0
2001-02-01,13646144.1,14377236.6
2001-03-01,14043959.9,14770047.8
2001-04-01,13742309.2,14750864.6
2001-05-01,13163154.5,14034330.0
2001-06-01,13360537.1,13971412.4
2001-07-01,12855657.9,13548966.8
2001-08-01,13006367.5,13679753.2
2001-09-01,12967183.4,13778367.1
2001-10-01,12804938.3,13701512.5
2001-11-01,12555822.1,13464959.6
2001-12-01,12871991.4,13605309.2
2002-01-01,12751816.0,13145275.7
2002-02-01,12976544.6,13783685.8
2002-03-01,13379073.9,14314093.0
2002-04-01,13897490.3,14024699.8
2002-05-01,13348059.8,14283860.8
2002-06-01,13344274.2,14106599.6
2002-07-01,13592666.5,14212491.2
2002-08-01,13504050.1,14167359.8
2002-09-01,13512719.2,14249261.9
2002-10-01,13366385.3,13939031.9
2002-11-01,13465255.4,13958086.8
2002-12-01,13487841.9,13944962.1
2003-01-01,14132026.1,14063575.8
2003-02-01,13940877.1,13846136.7
2003-03-01,13417679.3,14168427.1
2003-04-01,13335748.3,14225097.9
2003-05-01,12919983.0,13891360.5
2003-06-01,13374609.9,13935681.3
2003-07-01,13597231.7,14193738.6
2003-08-01,13411684.7,13980835.6
2003-09-01,13739609.8,14078375.4
2003-10-01,13996218.6,14400815.9
2003-11-01,14313797.0,14683462.9
2003-12-01,14667613.3,14988023.8
2004-01-01,14663225.8,14717737.0
2004-02-01,14862563.1,15439727.2
2004-03-01,15314394.3,15661304.5
2004-04-01,14998160.4,15770889.7
2004-05-01,15956694.4,16544034.6
2004-06-01,15553729.0,16272802.3
2004-07-01,15663967.7,16521585.5
2004-08-01,16005011.9,16605670.3
2004-09-01,15791561.9,16307302.7
2004-10-01,16315076.7,16848060.2
2004-11-01,16422489.8,17701437.7
2004-12-01,15761583.6,17303944.1
2005-01-01,16379636.6,17717165.8
2005-02-01,16703927.8,17681090.6
2005-03-01,16712394.3,17546312.7
2005-04-01,17521317.1,17972286.9
2005-05-01,17207882.1,17734624.2
2005-06-01,17907070.4,18193769.5
2005-07-01,17193837.5,18268937.3
2005-08-01,17896620.5,18398011.9
2005-09-01,18249916.3,18424326.5
2005-10-01,18731137.2,19314111.6
2005-11-01,19528265.7,19992583.0
2005-12-01,20213136.3,20700688.9
2006-01-01,21229150.8,20214395.1
2006-02-01,20311469.5,20505451.4
2006-03-01,20238495.0,20780269.0
2006-04-01,20790164.5,21095341.0
2006-05-01,20858327.1,21567509.7
2006-06-01,20840369.5,21393554.3
2006-07-01,20679855.2,21381570.2
2006-08-01,21227890.8,21643797.3
2006-09-01,20688105.2,22068598.5
2006-10-01,21176248.0,21984888.1
2006-11-01,20841246.1,21560341.5
2006-12-01,21171240.5,22013539.3
2007-01-01,20533856.6,21921089.5
2007-02-01,21299516.5,22273361.4
2007-03-01,21558898.0,22385258.5
2007-04-01,21452008.7,22845631.5
2007-05-01,22236639.7,23473308.3
2007-06-01,22539228.8,24009832.5
2007-07-01,22540533.3,23211385.0
2007-08-01,23356924.0,23902145.6
2007-09-01,23913580.2,24413793.3
2007-10-01,23263042.1,24204949.3
2007-11-01,24438167.8,24319896.4
2007-12-01,24267372.5,24602510.1
2008-01-01,24483830.8,25600076.8
2008-02-01,24201952.4,25820442.0
2008-03-01,25332131.0,25898915.8
2008-04-01,25876870.3,26617746.6
2008-05-01,25596417.7,26341782.1
2008-06-01,25863860.9,26406086.1
2008-07-01,26948810.2,27891585.9
2008-08-01,25798466.8,27545780.9
2008-09-01,24121510.2,26088056.5
2008-10-01,22735296.3,25332979.8
2008-11-01,21072829.6,24012869.1
2008-12-01,17991466.1,19713624.8
2009-01-01,17639022.9,18891659.8
2009-02-01,17422275.7,18611984.1
2009-03-01,17401319.1,18055924.6
2009-04-01,17466817.7,17700556.6
2009-05-01,17248085.6,17390364.4
2009-06-01,18190243.7,18717466.4
2009-07-01,18194615.8,19120152.2
2009-08-01,19341766.5,19765452.3
2009-09-01,20291219.4,20554474.8
2009-10-01,21161546.6,20604885.1
2009-11-01,22481443.1,22439980.9
2009-12-01,22625417.8,22500599.3
2010-01-01,22797897.0,22511120.4
2010-02-01,23128143.7,23247671.8
2010-03-01,23897161.6,24384949.8
2010-04-01,24875902.8,25018802.1
2010-05-01,24686287.6,25238150.3
2010-06-01,23504646.2,24407738.4
2010-07-01,24345384.1,24694213.8
2010-08-01,25365573.8,25553909.2
2010-09-01,25392619.4,25369526.4
2010-10-01,25764798.4,26460859.2
2010-11-01,26890405.5,26718032.6
2010-12-01,27069601.2,27329657.1
2011-01-01,29263033.7,27865188.3
2011-02-01,27903639.5,28256108.4
2011-03-01,28835602.8,28372237.1
2011-04-01,28325354.4,28235784.8
2011-05-01,29605749.5,29390809.9
2011-06-01,29665548.2,30225914.3
2011-07-01,29510744.9,29965566.5
2011-08-01,29069538.5,29278383.7
2011-09-01,28993216.3,30227184.0
2011-10-01,29021227.8,29499874.0
2011-11-01,29636978.2,29819229.2
2011-12-01,29984437.1,30237636.4
2012-01-01,31276058.5,30512374.8
2012-02-01,31275076.9,31274216.7
2012-03-01,31202086.9,30280673.5
2012-04-01,31160642.2,31423592.2
2012-05-01,31181698.9,31148138.0
2012-06-01,30033319.6,29926392.4
2012-07-01,30527412.0,30527408.0
2012-08-01,30481343.4,30158488.6
2012-09-01,30468617.0,30608748.5
2012-10-01,30541921.7,32025979.4
2012-11-01,31056937.3,31542302.0
2012-12-01,31180220.0,31060418.2
2013-01-01,31203001.7,31995289.5
2013-02-01,31249069.9,32115261.0
2013-03-01,31668355.4,32220654.0
2013-04-01,31668243.1,32228087.5
2013-05-01,30768564.0,31485625.0
2013-06-01,31664290.1,31743211.0
2013-07-01,32053776.1,32065268.9
2013-08-01,31754790.6,31646609.9
2013-09-01,31932740.1,31382254.2
2013-10-01,31901160.7,31598874.7
2013-11-01,31525858.5,31131002.8
2013-12-01,32368999.6,31265650.1
2014-01-01,31264294.4,31951339.7
2014-02-01,32590311.2,32658915.2
2014-03-01,32474283.2,32937415.7
2014-04-01,33377749.4,33296186.3
2014-05-01,33289156.9,33592079.2
2014-06-01,33163778.4,33607674.6
2014-07-01,33156767.0,33010985.7
2014-08-01,33619779.8,34515088.3
2014-09-01,33747488.9,33040439.8
2014-10-01,33589456.4,33009163.2
2014-11-01,32959967.9,34628077.5
2014-12-01,33012885.1,33419626.7
2015-01-01,32098056.7,32661874.2
2015-02-01,31731190.7,32251719.2
2015-03-01,32579113.4,33176139.3
2015-04-01,31961245.8,32931796.0
2015-05-01,31269754.5,32933014.3
2015-06-01,32487959.4,33931732.6
2015-07-01,32167985.1,33271599.5
2015-08-01,31701553.7,33997677.5
2015-09-01,31555312.5,32809049.8
2015-10-01,32184194.3,32916070.6
2015-11-01,30898390.1,32614785.4
2015-12-01,29740598.4,31417166.4
2016-01-01,30995875.9,31800808.8
2016-02-01,29719887.2,31629476.2
2016-03-01,29233042.2,31169779.0
2016-04-01,30120597.0,32046040.0
2016-05-01,30547383.1,31503148.5
2016-06-01,30440087.8,31766139.9
2016-07-01,31366164.6,32306596.4
2016-08-01,31163476.1,32081725.2
2016-09-01,32242112.7,33114319.7
2016-10-01,32052942.1,32339167.5
2016-11-01,32914421.7,33145792.2
2016-12-01,32779467.8,33718464.9
2017-01-01,33128242.7,33710053.6
2017-02-01,33285123.6,33843361.1
2017-03-01,32858858.5,34015942.0
2017-04-01,33286088.3,33468900.3
2017-05-01,33143483.4,34670282.2
2017-06-01,34123175.2,34931934.4
2017-07-01,33899067.2,34616686.8
2017-08-01,34315579.6,35938664.2
2017-09-01,34350109.1,35580951.5
2017-10-01,35091229.3,36484055.3
2017-11-01,35982885.2,35961060.5
2017-12-01,36497060.0,37944454.4
2018-01-01,35720092.8,36680407.0
2018-02-01,37221920.1,37647905.6
2018-03-01,38331346.7,38786967.0
2018-04-01,37121590.4,37583280.4
2018-05-01,36505629.4,38583021.0
2018-06-01,37222634.2,39165103.3
2018-07-01,37424520.1,39291084.0
2018-08-01,37814243.0,39078610.8
2018-09-01,39383411.8,39470561.2
2018-10-01,38331625.9,39929157.4
2018-11-01,37410146.3,39826847.8
2018-12-01,37975605.0,37931015.4
2019-01-01,37575866.5,38680042.1
2019-02-01,38637933.4,38375600.8
2019-03-01,38348968.5,38227455.4
2019-04-01,39134014.2,38678981.8
2019-05-01,38897875.2,38352260.5
2019-06-01,38818548.0,37662579.6
2019-07-01,38504439.6,38462251.5
2019-08-01,39679141.3,38104604.4
2019-09-01,37951612.7,37551765.8
2019-10-01,37555321.7,37459553.6
2019-11-01,37769260.8,36941424.2
2019-12-01,37684928.7,36735639.4
2020-01-01,38647326.6,37204437.2
2020-02-01,38350797.7,36422813.2
2020-03-01,36595056.6,34735814.6
2020-04-01,22462524.3,26655949.4
2020-05-01,18176886.3,21806458.9
2020-06-01,31990773.1,27311514.0
2020-07-01,34660767.1,28209277.2
2020-08-01,38082479.5,30885387.3
2020-09-01,37840369.0,33029632.2
2020-10-01,40209587.4,33458352.9
2020-11-01,38929911.4,35931239.5
2020-12-01,40298611.0,36704912.3
2021-01-01,40460567.6,37884014.2
2021-02-01,38525509.6,36206910.7
2021-03-01,40044717.5,44372742.7
2021-04-01,39694286.8,39026991.4
2021-05-01,40719328.5,41176913.3
2021-06-01,40920718.1,41095025.6
2021-07-01,40982380.2,43897515.4
2021-08-01,40463361.1,42660914.7
2021-09-01,40877466.9,42500059.9
2021-10-01,41433127.1,43638731.4
2021-11-01,45141644.4,45124274.2
2021-12-01,44875778.6,46861460.0
2022-01-01,42085411.3,45327319.5
2022-02-01,49469492.5,48481927.0
2022-03-01,47518863.3,49616670.8
2022-04-01,48272082.4,50971656.9
2022-05-01,48269238.0,51583465.2
2022-06-01,49026369.4,53502750.8
2022-07-01,47632696.1,53107811.3
2022-08-01,48485164.8,51660673.5
2022-09-01,51379350.3,51431158.3
2022-10-01,48696423.8,50928099.1
2022-11-01,48127671.2,49076730.4
2022-12-01,48321215.9,50171933.3
2023-01-01,51848674.8,51466463.1
2023-02-01,48018360.7,50629982.9
2023-03-01,48851059.8,49894738.3
2023-04-01,47965127.1,51149257.0
2023-05-01,49161644.3,50521552.0
2023-06-01,49958618.2,50386320.8
2023-07-01,49349881.9,49589460.7
2023-08-01,49898034.6,49938302.9
2023-09-01,50469210.1,51975699.8
2023-10-01,49610002.8,50751682.2
2023-11-01,48774270.2,50209462.7
2023-12-01,50515683.2,50209453.1
2024-01-01,49832685.8,50328187.5
2024-02-01,52175316.0,54199534.1
