date,IMSS_empleos
1997-07-01,10206251
1997-08-01,10291282
1997-09-01,10384707
1997-10-01,10476716
1997-11-01,10563802
1997-12-01,10633961
1998-01-01,10723592
1998-02-01,10778687
1998-03-01,10853094
1998-04-01,10904591
1998-05-01,10939535
1998-06-01,10975363
1998-07-01,11049105
1998-08-01,11110171
1998-09-01,11160560
1998-10-01,11220250
1998-11-01,11218921
1998-12-01,11289164
1999-01-01,11337689
1999-02-01,11400807
1999-03-01,11442400
1999-04-01,11496552
1999-05-01,11552361
1999-06-01,11605518
1999-07-01,11657277
1999-08-01,11718859
1999-09-01,11791094
1999-10-01,11857833
1999-11-01,11937575
1999-12-01,11962086
2000-01-01,12048903
2000-02-01,12110301
2000-03-01,12179603
2000-04-01,12211355
2000-05-01,12289556
2000-06-01,12361959
2000-07-01,12438401
2000-08-01,12482012
2000-09-01,12513886
2000-10-01,12552315
2000-11-01,12562680
2000-12-01,12556928
2001-01-01,12548000
2001-02-01,12516109
2001-03-01,12478047
2001-04-01,12449250
2001-05-01,12432308
2001-06-01,12398409
2001-07-01,12363722
2001-08-01,12336829
2001-09-01,12293647
2001-10-01,12254265
2001-11-01,12235068
2001-12-01,12235870
2002-01-01,12213965
2002-02-01,12231343
2002-03-01,12238658
2002-04-01,12274797
2002-05-01,12293240
2002-06-01,12298177
2002-07-01,12321378
2002-08-01,12309035
2002-09-01,12309228
2002-10-01,12296565
2002-11-01,12297989
2002-12-01,12306817
2003-01-01,12300583
2003-02-01,12296209
2003-03-01,12295821
2003-04-01,12277908
2003-05-01,12260579
2003-06-01,12245028
2003-07-01,12220628
2003-08-01,12222614
2003-09-01,12232570
2003-10-01,12267082
2003-11-01,12303348
2003-12-01,12322056
2004-01-01,12352182
2004-02-01,12378376
2004-03-01,12422683
2004-04-01,12439658
2004-05-01,12464467
2004-06-01,12487218
2004-07-01,12517291
2004-08-01,12534811
2004-09-01,12568471
2004-10-01,12602044
2004-11-01,12635116
2004-12-01,12664994
2005-01-01,12706888
2005-02-01,12746173
