date,INPC
1992-01-01,11.657778
1992-02-01,11.7959
1992-03-01,11.915948
1992-04-01,12.022171
1992-05-01,12.101438
1992-06-01,12.183345
1992-07-01,12.260272
1992-08-01,12.335592
1992-09-01,12.442897
1992-10-01,12.532494
1992-11-01,12.63662
1992-12-01,12.816553
1993-01-01,12.97732
1993-02-01,13.083345
1993-03-01,13.159594
1993-04-01,13.23548
1993-05-01,13.311137
1993-06-01,13.385797
1993-07-01,13.450123
1993-08-01,13.522112
1993-09-01,13.622261
1993-10-01,13.677973
1993-11-01,13.738302
1993-12-01,13.843055
1994-01-01,13.950375
1994-02-01,14.022124
1994-03-01,14.094225
1994-04-01,14.163251
1994-05-01,14.231682
1994-06-01,14.302895
1994-07-01,14.366327
1994-08-01,14.433287
1994-09-01,14.535937
1994-10-01,14.612245
1994-11-01,14.690361
1994-12-01,14.819204
1995-01-01,15.376991
1995-02-01,16.028707
1995-03-01,16.973617
1995-04-01,18.326133
1995-05-01,19.09209
1995-06-01,19.698024
1995-07-01,20.099588
1995-08-01,20.432981
1995-09-01,20.855643
1995-10-01,21.284762
1995-11-01,21.809608
1995-12-01,22.520167
1996-01-01,23.329754
1996-02-01,23.874262
1996-03-01,24.399826
1996-04-01,25.09345
1996-05-01,25.550842
1996-06-01,25.966902
1996-07-01,26.336031
1996-08-01,26.686072
1996-09-01,27.112751
1996-10-01,27.451168
1996-11-01,27.867083
1996-12-01,28.759336
1997-01-01,29.498886
1997-02-01,29.994598
1997-03-01,30.367889
1997-04-01,30.695972
1997-05-01,30.976119
1997-06-01,31.250957
1997-07-01,31.523211
1997-08-01,31.803502
1997-09-01,32.199613
1997-10-01,32.456941
1997-11-01,32.820042
1997-12-01,33.279875
1998-01-01,34.003924
1998-02-01,34.599238
1998-03-01,35.004533
1998-04-01,35.332042
1998-05-01,35.613481
1998-06-01,36.03442
1998-07-01,36.381878
1998-08-01,36.731632
1998-09-01,37.327376
1998-10-01,37.862269
1998-11-01,38.532786
1998-12-01,39.472974
1999-01-01,40.46977
1999-02-01,41.013643
1999-03-01,41.394684
1999-04-01,41.774577
1999-05-01,42.025877
1999-06-01,42.302006
1999-07-01,42.58158
1999-08-01,42.821255
1999-09-01,43.235018
1999-10-01,43.508851
1999-11-01,43.895776
1999-12-01,44.335516
2000-01-01,44.93083
2000-02-01,45.32938
2000-03-01,45.580681
2000-04-01,45.840018
2000-05-01,46.011379
2000-06-01,46.28392
2000-07-01,46.464466
2000-08-01,46.719785
2000-09-01,47.061072
2000-10-01,47.385136
2000-11-01,47.790288
2000-12-01,48.307671
2001-01-01,48.575476
2001-02-01,48.543328
2001-03-01,48.850888
2001-04-01,49.097309
2001-05-01,49.20997
2001-06-01,49.326364
2001-07-01,49.198202
2001-08-01,49.489688
2001-09-01,49.950381
2001-10-01,50.176135
2001-11-01,50.365149
2001-12-01,50.434899
2002-01-01,50.900472
2002-02-01,50.86775
2002-03-01,51.127948
2002-04-01,51.407235
2002-05-01,51.511429
2002-06-01,51.762586
2002-07-01,51.911181
2002-08-01,52.10856
2002-09-01,52.421984
2002-10-01,52.653036
2002-11-01,53.078877
2002-12-01,53.30993
2003-01-01,53.525441
2003-02-01,53.674122
2003-03-01,54.01293
2003-04-01,54.105144
2003-05-01,53.93056
2003-06-01,53.975112
2003-07-01,54.053339
2003-08-01,54.21549
2003-09-01,54.538238
2003-10-01,54.738207
2003-11-01,55.192542
2003-12-01,55.429811
2004-01-01,55.774317
2004-02-01,56.107945
2004-03-01,56.298071
2004-04-01,56.383032
2004-05-01,56.241603
2004-06-01,56.331745
2004-07-01,56.47939
2004-08-01,56.828041
2004-09-01,57.297917
2004-10-01,57.694747
2004-11-01,58.186899
2004-12-01,58.307088
2005-01-01,58.30916
2005-02-01,58.503431
2005-03-01,58.767121
2005-04-01,58.976415
2005-05-01,58.828251
2005-06-01,58.771783
2005-07-01,59.0018
2005-08-01,59.072255
2005-09-01,59.309006
2005-10-01,59.45458
2005-11-01,59.882493
2005-12-01,60.250312
2006-01-01,60.603626
2006-02-01,60.696358
2006-03-01,60.772512
2006-04-01,60.861617
2006-05-01,60.590675
2006-06-01,60.642998
2006-07-01,60.809294
2006-08-01,61.119609
2006-09-01,61.736612
2006-10-01,62.006519
2006-11-01,62.331857
2006-12-01,62.692424
2007-01-01,63.016208
2007-02-01,63.192347
2007-03-01,63.329113
2007-04-01,63.291295
2007-05-01,62.982534
2007-06-01,63.05817
2007-07-01,63.326005
2007-08-01,63.583996
2007-09-01,64.077703
2007-10-01,64.327405
2007-11-01,64.781221
2007-12-01,65.049056
2008-01-01,65.350564
2008-02-01,65.544834
2008-03-01,66.019891
2008-04-01,66.170127
2008-05-01,66.098635
2008-06-01,66.372168
2008-07-01,66.742059
2008-08-01,67.127492
2008-09-01,67.584935
2008-10-01,68.045486
2008-11-01,68.818942
2008-12-01,69.295552
2009-01-01,69.456149
2009-02-01,69.609494
2009-03-01,70.00995
2009-04-01,70.25499
2009-05-01,70.050358
2009-06-01,70.179354
2009-07-01,70.370516
2009-08-01,70.538884
2009-09-01,70.892716
2009-10-01,71.107191
2009-11-01,71.476046
2009-12-01,71.771855
2010-01-01,72.552046
2010-02-01,72.971671
2010-03-01,73.489725
2010-04-01,73.255565
2010-05-01,72.793978
2010-06-01,72.771183
2010-07-01,72.92919
2010-08-01,73.13175
2010-09-01,73.51511
2010-10-01,73.968926
2010-11-01,74.561581
2010-12-01,74.930954
2011-01-01,75.295991
2011-02-01,75.57846
2011-03-01,75.723451
2011-04-01,75.717441
2011-05-01,75.159264
2011-06-01,75.155508
2011-07-01,75.516107
2011-08-01,75.635555
2011-09-01,75.821113
2011-10-01,76.332712
2011-11-01,77.158333
2011-12-01,77.792385
2012-01-01,78.343049
2012-02-01,78.502314
2012-03-01,78.547389
2012-04-01,78.30098
