date,PIB
1993-01-01,13804633.9425356
1993-04-01,13803748.7139758
1993-07-01,13964070.1706835
1993-10-01,14051912.757931
1994-01-01,14194171.6854885
1994-04-01,14517685.9718302
1994-07-01,14596218.2082708
1994-10-01,14753230.8854728
1995-01-01,14081579.164023
1995-04-01,13224737.9168658
1995-07-01,13508531.6663136
1995-10-01,13817356.3620471
1996-01-01,14135690.1864051
1996-04-01,14289442.8979132
1996-07-01,14501881.8723661
1996-10-01,14961452.3020707
1997-01-01,15013242.8521465
1997-04-01,15373099.1853021
1997-07-01,15689509.0510725
1997-10-01,16132022.2900669
1998-01-01,16384009.745075
1998-04-01,16496122.1165448
1998-07-01,16579046.0435063
1998-10-01,16608766.8985303
1999-01-01,16757785.1684791
1999-04-01,16877486.3900951
1999-07-01,17036671.1601995
1999-10-01,17207193.6226504
2000-01-01,17557883.9680911
2000-04-01,17786104.6477486
2000-07-01,17980678.5566935
2000-10-01,17778094.9662858
2001-01-01,17897405.3676227
2001-04-01,17757599.6018023
2001-07-01,17721824.6276402
2001-10-01,17568589.5321992
2002-01-01,17458796.4352359
2002-04-01,17651291.9477933
2002-07-01,17813236.6198962
2002-10-01,17850927.0033697
2003-01-01,17848615.4651106
2003-04-01,17867028.5957025
2003-07-01,17877459.8986344
2003-10-01,18039028.3532509
2004-01-01,18273240.2268664
2004-04-01,18519566.7515277
2004-07-01,18510124.3737518
2004-10-01,18707115.9473708
2005-01-01,18748468.7012437
2005-04-01,18754903.6108978
2005-07-01,18943042.7853034
2005-10-01,19293920.0750512
2006-01-01,19679238.2971719
2006-04-01,19840933.8449238
2006-07-01,19891518.1533078
2006-10-01,19964080.7500079
2007-01-01,20110440.1473038
2007-04-01,20233971.5830848
2007-07-01,20306531.8226747
2007-10-01,20359858.2027338
2008-01-01,20347064.9087858
2008-04-01,20507750.0613642
2008-07-01,20520379.4720788
2008-10-01,20198906.7456788
2009-01-01,18956000.3578842
2009-04-01,18631132.2377939
2009-07-01,19308832.0467039
2009-10-01,19732353.590895
2010-01-01,19818050.5918348
2010-04-01,20026587.1158567
2010-07-01,20218995.3655299
2010-10-01,20387187.1755273
2011-01-01,20532972.2127615
2011-04-01,20587634.5910532
2011-07-01,20977559.1316445
2011-10-01,21129572.5093734
2012-01-01,21326775.6288819
2012-04-01,21458334.7013905
2012-07-01,21517620.0846029
2012-10-01,21684886.5051034
2013-01-01,21703288.6295567
2013-04-01,21615858.6440016
2013-07-01,21750918.7273411
2013-10-01,21857750.3143163
2014-01-01,22004481.258659
2014-04-01,22280036.5095355
2014-07-01,22319432.0255293
2014-10-01,22508899.1474254
2015-01-01,22621564.3187987
2015-04-01,22815369.7186676
2015-07-01,23085753.9900391
2015-10-01,23017242.6541417
2016-01-01,22983677.4753948
2016-04-01,23096475.6347148
2016-07-01,23296964.7896913
2016-10-01,23556556.027092
2017-01-01,23697308.5913102
2017-04-01,23718064.6064818
2017-07-01,23580116.1737295
2017-10-01,23908504.9043158
2018-01-01,24207273.5403049
2018-04-01,24135857.5141935
2018-07-01,24232910.8031441
2018-10-01,24186630.5369697
2019-01-01,24192811.6090998
2019-04-01,24119434.8624232
2019-07-01,24126594.8796314
2019-10-01,23947110.5842114
2020-01-01,23655935.4261833
2020-04-01,19182029.0209441
2020-07-01,22168837.9289042
2020-10-01,23121698.4179794
2021-01-01,23296315.2402164
2021-04-01,23501800.92003
2021-07-01,23299971.1828887
2021-10-01,23572268.2513007
2022-01-01,23912793.681937
2022-04-01,24185244.2763628
2022-07-01,24371790.2623713
2022-10-01,24674037.261043
2023-01-01,24814734.9923674
2023-04-01,24996314.1803144
2023-07-01,25154670.4172205
2023-10-01,25201868.1448844
2024-01-01,25306022.4434135
2024-04-01,25266256.6656595
2024-07-01,25515285.3375812
2024-10-01,25290826.7955281
2025-01-01,25486696.256635
2025-04-01,25480578.9853756
2025-07-01,25453873.6969464
2025-10-01,25694485.9522712
2026-01-01,25606452.75203
2026-04-01,25971192.5814984
