date,TC
1992-01-01,3.06772
1992-02-01,3.06291
1992-03-01,3.06677
1992-04-01,3.06941
1992-05-01,3.10184
1992-06-01,3.11916
1992-07-01,3.11557
1992-08-01,3.0881
1992-09-01,3.0893
1992-10-01,3.12445
1992-11-01,3.11832
1992-12-01,3.11888
1993-01-01,3.10869
1993-02-01,3.09784
1993-03-01,3.10797
1993-04-01,3.09758
1993-05-01,3.12334
1993-06-01,3.12111
1993-07-01,3.12365
1993-08-01,3.11211
1993-09-01,3.11319
1993-10-01,3.11522
1993-11-01,3.15307
1993-12-01,3.10796
1994-01-01,3.1072
1994-02-01,3.12112
1994-03-01,3.29936
1994-04-01,3.34559
1994-05-01,3.31668
1994-06-01,3.3667
1994-07-01,3.40192
1994-08-01,3.38079
1994-09-01,3.40096
1994-10-01,3.41952
1994-11-01,3.44284
1994-12-01,4.0836
1995-01-01,5.62534
1995-02-01,5.6695
1995-03-01,6.77216
1995-04-01,6.20638
1995-05-01,5.98607
1995-06-01,6.22688
1995-07-01,6.12499
1995-08-01,6.20552
1995-09-01,6.3134
1995-10-01,6.74983
1995-11-01,7.70558
1995-12-01,7.68073
1996-01-01,7.476
1996-02-01,7.52403
1996-03-01,7.56874
1996-04-01,7.4617
1996-05-01,7.4326
1996-06-01,7.56035
1996-07-01,7.62062
1996-08-01,7.5115
1996-09-01,7.54404
1996-10-01,7.72627
1996-11-01,7.90602
1996-12-01,7.87407
1997-01-01,7.82699
1997-02-01,7.80033
1997-03-01,7.96471
1997-04-01,7.90744
1997-05-01,7.90063
1997-06-01,7.9502
1997-07-01,7.87215
1997-08-01,7.78285
1997-09-01,7.78048
1997-10-01,7.86029
1997-11-01,8.26893
1997-12-01,8.12185
1998-01-01,8.21768
1998-02-01,8.50135
1998-03-01,8.5676
1998-04-01,8.49654
1998-05-01,8.59338
1998-06-01,8.91313
1998-07-01,8.89597
1998-08-01,9.3633
1998-09-01,10.23073
1998-10-01,10.15356
1998-11-01,9.96816
1998-12-01,9.90569
1999-01-01,10.13513
1999-02-01,9.99388
1999-03-01,9.7316
1999-04-01,9.41846
1999-05-01,9.41052
1999-06-01,9.51388
1999-07-01,9.3657
1999-08-01,9.3966
1999-09-01,9.33578
1999-10-01,9.56674
1999-11-01,9.39881
1999-12-01,9.42489
2000-01-01,9.48778
2000-02-01,9.42516
