date,TasaDesempleo
2005-01-01,3.7527354348
2005-02-01,3.6012604725
2005-03-01,3.6994285862
2005-04-01,3.6176324215
2005-05-01,3.8376411425
2005-06-01,3.8342879834
2005-07-01,3.650788207
2005-08-01,3.453394856
2005-09-01,3.4523240078
2005-10-01,3.2424598157
2005-11-01,3.0254507298
2005-12-01,3.1084048557
2006-01-01,3.2544597442
2006-02-01,3.5348903799
2006-03-01,3.2932456832
2006-04-01,3.4138699772
2006-05-01,3.3674175783
2006-06-01,3.5605395309
2006-07-01,3.6839699599
2006-08-01,3.651653825
2006-09-01,3.6546113336
2006-10-01,3.7169089452
2006-11-01,3.7983591824
2006-12-01,3.8449911054
2007-01-01,3.7256739624
2007-02-01,3.8797562773
2007-03-01,3.858000592
2007-04-01,3.7477661363
2007-05-01,3.605261092
2007-06-01,3.5413799553
2007-07-01,3.5009535299
2007-08-01,3.59783147
2007-09-01,3.5168014665
2007-10-01,3.6793923056
2007-11-01,3.5131713206
2007-12-01,3.6583987994
2008-01-01,3.8891192237
2008-02-01,3.6438768034
2008-03-01,3.6979314392
2008-04-01,3.6002554752
2008-05-01,3.6478927212
2008-06-01,3.6545203033
2008-07-01,3.8480400978
2008-08-01,3.8113644818
2008-09-01,3.8577273999
2008-10-01,3.9589383552
2008-11-01,4.6839563147
2008-12-01,4.5089549837
2009-01-01,4.6532648925
2009-02-01,5.003567265
2009-03-01,5.0438136224
2009-04-01,5.3269194792
2009-05-01,5.6556638477
2009-06-01,5.4574009776
2009-07-01,5.6168778814
2009-08-01,5.7405838912
2009-09-01,5.8969935841
2009-10-01,5.5900276125
2009-11-01,5.3607248841
2009-12-01,5.2661650976
2010-01-01,5.5231136894
2010-02-01,5.2277820074
2010-03-01,5.2684208075
2010-04-01,5.4643061613
2010-05-01,5.2582440857
2010-06-01,5.1928482751
2010-07-01,5.3235130569
2010-08-01,4.9714028816
2010-09-01,5.2138638619
2010-10-01,5.4193343649
2010-11-01,5.346244911
2010-12-01,5.4709612353
2011-01-01,5.1106047117
2011-02-01,5.2837575524
2011-03-01,5.0601110961
2011-04-01,5.1707543406
2011-05-01,5.3522686029
2011-06-01,5.5783523264
2011-07-01,5.2735386033
2011-08-01,5.340075318
2011-09-01,5.2401132992
2011-10-01,4.81055309
2011-11-01,5.061315772
2011-12-01,5.0263661984
2012-01-01,4.6688697675
2012-02-01,5.420545466
2012-03-01,5.11603362
2012-04-01,4.8903552802
2012-05-01,4.8770845805
2012-06-01,4.8546542708
2012-07-01,4.7232797851
2012-08-01,4.9394462599
2012-09-01,4.6713873273
2012-10-01,4.8355615777
2012-11-01,5.2058207857
2012-12-01,4.9752377523
2013-01-01,5.1567106133
2013-02-01,4.9593274951
2013-03-01,5.0499098909
2013-04-01,5.1188415456
2013-05-01,4.9586119252
2013-06-01,5.0711154267
2013-07-01,4.8956868413
2013-08-01,4.8219045003
2013-09-01,4.9841769389
2013-10-01,4.8834800821
2013-11-01,4.6093519138
2013-12-01,4.7934143246
2014-01-01,4.906421152
2014-02-01,4.8195395042
2014-03-01,5.2859413441
2014-04-01,4.9173964647
2014-05-01,4.9421149595
2014-06-01,4.8266337161
2014-07-01,5.2163635868
2014-08-01,4.842735875
2014-09-01,4.7840120447
2014-10-01,4.647182523
2014-11-01,4.6555534675
2014-12-01,4.1682412301
2015-01-01,4.39203264
2015-02-01,4.4468659982
2015-03-01,4.2755084299
2015-04-01,4.3477796777
2015-05-01,4.3854762421
2015-06-01,4.4134047871
2015-07-01,4.4911454952
2015-08-01,4.386937725
2015-09-01,4.195666269
2015-10-01,4.4420062455
2015-11-01,4.0642158798
2015-12-01,4.3069323012
2016-01-01,4.1717624979
2016-02-01,4.2550320258
2016-03-01,4.143846366
2016-04-01,3.8230935617
2016-05-01,3.9539140453
2016-06-01,3.9216688273
2016-07-01,3.8114746324
2016-08-01,3.7628251135
2016-09-01,3.844170274
2016-10-01,3.5852178659
2016-11-01,3.5939750222
2016-12-01,3.6364384846
2017-01-01,3.5353375165
2017-02-01,3.4686833878
2017-03-01,3.5268245736
2017-04-01,3.475798118
2017-05-01,3.5076982466
2017-06-01,3.2768759559
2017-07-01,3.2563884119
2017-08-01,3.3333464531
2017-09-01,3.3407483491
2017-10-01,3.4445542268
2017-11-01,3.5001015971
2017-12-01,3.3907538027
2018-01-01,3.2817091531
2018-02-01,3.2928629915
2018-03-01,3.2654106945
2018-04-01,3.3829011672
2018-05-01,3.2240546084
2018-06-01,3.3543598237
2018-07-01,3.2934854702
2018-08-01,3.2688943268
2018-09-01,3.3306355647
2018-10-01,3.2016714757
2018-11-01,3.3420765227
2018-12-01,3.6599491843
2019-01-01,3.4536431671
2019-02-01,3.3921562604
2019-03-01,3.6142836722
2019-04-01,3.4853682563
2019-05-01,3.539005974
2019-06-01,3.5341951617
2019-07-01,3.5250550354
2019-08-01,3.4833137154
2019-09-01,3.5182642748
2019-10-01,3.6148925191
2019-11-01,3.5316871036
2019-12-01,3.1965932331
2020-01-01,3.6460812716
2020-02-01,3.5723355779
2020-03-01,3.321478807
2020-04-01,4.6741826802
2020-05-01,4.2801218098
2020-06-01,5.4397879663
2020-07-01,5.0101725365
2020-08-01,4.9018931006
2020-09-01,4.7917313202
2020-10-01,4.5905988702
2020-11-01,4.5126056781
2020-12-01,4.1716719329
2021-01-01,4.5330724525
2021-02-01,4.4416993821
2021-03-01,4.4670893048
2021-04-01,4.6685698574
2021-05-01,4.0760409277
2021-06-01,3.9753858487
2021-07-01,4.0842836658
2021-08-01,3.9991393912
2021-09-01,3.9181080871
2021-10-01,3.8543565797
2021-11-01,3.8035955409
2021-12-01,3.8120614961
2022-01-01,3.5759067355
2022-02-01,3.8173126993
2022-03-01,3.481715349
2022-04-01,3.0643880238
2022-05-01,3.3185506109
2022-06-01,3.3058449798
2022-07-01,3.1920116372
2022-08-01,3.2368403646
2022-09-01,3.1141926795
2022-10-01,3.2317785483
2022-11-01,2.936386527
2022-12-01,2.9676553487
2023-01-01,2.9108572714
2023-02-01,2.8367416969
2023-03-01,2.8252555909
2023-04-01,2.872006841
2023-05-01,2.930875276
2023-06-01,2.6026498274
2023-07-01,2.9100658074
2023-08-01,2.687857894
2023-09-01,2.6727524962
2023-10-01,2.7097976886
2023-11-01,2.7817346846
2023-12-01,2.8051639984
2024-01-01,2.781667234
2024-02-01,2.5926616986
2024-03-01,2.6916461103
2024-04-01,2.6764913301
2024-05-01,2.6026967876
2024-06-01,2.7064848025
2024-07-01,2.7210124856
2024-08-01,2.7535249735
2024-09-01,2.6987807924
2024-10-01,2.4883046977
2024-11-01,2.6860632563
2024-12-01,2.643887069
2025-01-01,2.6426942004
2025-02-01,2.6577306428
2025-03-01,2.6004454868
2025-04-01,2.6221675371
2025-05-01,2.7048752546
2025-06-01,2.6042519254
2025-07-01,2.5810307491
2025-08-01,2.6551982826
2025-09-01,2.739643026
2025-10-01,2.618162559
2025-11-01,2.7016718813
2025-12-01,2.6279892685
2026-01-01,2.6498584727
2026-02-01,2.7249670929
2026-03-01,2.8032670324
2026-04-01,2.5489029585
2026-05-01,2.7267550459
2026-06-01,2.8039743121
