date,IGAE,ActividadIndustrial,FBCF
1993-01-01,56.2778528192,63.2720623041,54.5607650968
1993-02-01,57.7022153856,65.7545184654,55.7304853202
1993-03-01,57.8118627233,66.2254657118,56.4957325695
1993-04-01,57.1834541757,65.3942878753,56.0009157045
1993-05-01,57.8781693199,65.3882022874,57.0631933017
1993-06-01,57.4400144433,64.9011362642,54.9017644984
1993-07-01,58.3091249472,65.4899959102,55.8329365108
1993-08-01,58.0857253932,65.646416493,57.3138437484
1993-09-01,57.8383028097,65.4956387352,57.9250326027
1993-10-01,57.7529322322,65.7835751465,59.2078721987
1993-11-01,57.6107545933,65.8207090216,61.3002693713
1993-12-01,58.4809559634,66.8254085605,60.9620814986
1994-01-01,58.7405655047,67.2986695328,62.3887533176
1994-02-01,58.7087909344,66.9466360654,63.9644982885
1994-03-01,59.1913663582,67.6799520962,65.963404986
1994-04-01,60.4167924371,71.1011254774,67.5773517196
1994-05-01,60.3439381388,68.397739942,66.0349423538
1994-06-01,60.4263575642,68.3318694474,66.2846539617
1994-07-01,59.9420582519,68.2210340811,66.1345685192
1994-08-01,60.4516847959,69.0267402455,66.5823440221
1994-09-01,60.8752167062,69.2469543105,65.6680558406
1994-10-01,61.0857543073,68.8107948736,66.5722675946
1994-11-01,61.3116811855,68.5997423436,65.244540361
1994-12-01,60.7823194977,68.4206888668,58.1536113816
1995-01-01,60.9032848415,69.400683022,51.2705071675
1995-02-01,56.9953794654,63.1808951366,42.3416548186
1995-03-01,56.7175012079,62.1735285138,42.3768445928
1995-04-01,55.1037705001,59.5702584882,41.5162219552
1995-05-01,54.6918506521,59.2230678592,38.419311692
1995-06-01,55.2997684719,59.5462783638,40.134826846
1995-07-01,55.6973428528,59.9993162347,40.3419866745
1995-08-01,56.1275666625,60.1166249929,40.7372333733
1995-09-01,56.6147681729,61.0916256695,42.7454973805
1995-10-01,55.391646551,58.5610318254,42.8911157095
1995-11-01,57.1639822578,62.4612422764,44.4917349717
1995-12-01,59.2112451812,66.72751160360001,46.2164305339
1996-01-01,59.1358462971,66.2200623845,47.0531346979
1996-02-01,58.6138162215,65.7852352348,45.7720125944
1996-03-01,59.1174826832,66.9375647857,46.35862228
1996-04-01,58.8287518874,66.3680102201,48.1658309566
1996-05-01,59.6200260834,67.4209048329,49.0476426663
1996-06-01,60.1215048829,68.5586687561,50.7701119152
1996-07-01,60.1520596273,68.3597685583,52.0966577462
1996-08-01,60.1742441165,68.3930945695,52.0983719837
1996-09-01,60.6439029777,68.5650730573,52.6201279649
1996-10-01,61.1350785754,69.8701095134,54.1896973635
1996-11-01,61.9200241613,70.6265650921,53.8880355601
1996-12-01,62.3407803116,72.5336142562,55.3630160106
1997-01-01,62.0148289294,70.704754235,53.6201144674
1997-02-01,62.2604233485,71.2647517696,54.2939198158
1997-03-01,62.6280181229,71.7127195337,54.4186174138
1997-04-01,63.2982501471,72.7841543237,57.1285922011
1997-05-01,63.9151743472,73.5424957334,58.1277285601
1997-06-01,64.5873174863,74.3643545764,59.1237432753
1997-07-01,64.5740508359,74.9794372047,59.3413105465
1997-08-01,65.1007076097,75.5316647558,60.9988432406
1997-09-01,65.4331245126,75.6593538702,60.5130269213
1997-10-01,66.362841598,76.5776912091,60.7830215112
1997-11-01,66.9595033983,77.1464968063,62.7752417308
1997-12-01,66.7456525861,77.2917681316,60.9529067555
1998-01-01,67.1777801256,78.2440628646,60.8086624235
