date,reapertura,despidos
2017-12-31,0,2
2018-01-07,0,1
2018-01-14,0,2
2018-01-21,0,2
2018-01-28,0,2
2018-02-04,0,2
2018-02-11,0,3
2018-02-18,1,2
2018-02-25,1,2
2018-03-04,0,2
2018-03-11,0,2
2018-03-18,0,2
2018-03-25,0,0
2018-04-01,0,3
2018-04-08,0,2
2018-04-15,0,2
2018-04-22,0,2
2018-04-29,0,2
2018-05-06,0,2
2018-05-13,0,3
2018-05-20,0,2
2018-05-27,0,2
2018-06-03,0,1
2018-06-10,1,2
2018-06-17,1,0
2018-06-24,0,2
2018-07-01,0,2
2018-07-08,0,4
2018-07-15,0,5
2018-07-22,0,3
2018-07-29,0,4
2018-08-05,0,3
2018-08-12,0,3
2018-08-19,0,3
2018-08-26,0,3
2018-09-02,0,4
2018-09-09,0,6
2018-09-16,0,5
2018-09-23,0,3
2018-09-30,0,4
2018-10-07,2,4
2018-10-14,0,8
2018-10-21,0,4
2018-10-28,5,3
2018-11-04,1,2
2018-11-11,2,3
2018-11-18,1,3
2018-11-25,2,3
2018-12-02,0,5
2018-12-09,0,5
2018-12-16,3,71
2018-12-23,4,37
2018-12-30,0,22
2019-01-06,0,20
2019-01-13,2,12
2019-01-20,1,7
2019-01-27,0,11
2019-02-03,0,10
2019-02-10,0,8
2019-02-17,0,6
2019-02-24,2,5
2019-03-03,0,5
2019-03-10,1,6
2019-03-17,0,5
2019-03-24,0,4
2019-03-31,0,35
2019-04-07,0,8
2019-04-14,2,4
2019-04-21,0,4
2019-04-28,2,11
2019-05-05,0,10
2019-05-12,1,7
2019-05-19,1,11
2019-05-26,2,14
2019-06-02,1,8
2019-06-09,2,5
2019-06-16,0,6
2019-06-23,1,16
2019-06-30,0,14
2019-07-07,0,6
2019-07-14,0,6
2019-07-21,0,3
2019-07-28,2,4
2019-08-04,0,3
2019-08-11,0,2
2019-08-18,2,3
2019-08-25,0,3
2019-09-01,0,4
2019-09-08,0,5
2019-09-15,0,3
2019-09-22,0,5
2019-09-29,0,3
2019-10-06,0,4
2019-10-13,0,3
2019-10-20,1,3
2019-10-27,0,3
2019-11-03,0,4
2019-11-10,0,4
2019-11-17,0,2
2019-11-24,0,4
2019-12-01,0,3
2019-12-08,0,2
2019-12-15,1,2
2019-12-22,0,2
2019-12-29,0,2
2020-01-05,0,3
2020-01-12,2,3
2020-01-19,1,3
2020-01-26,0,3
2020-02-02,0,3
2020-02-09,0,2
2020-02-16,0,3
2020-02-23,0,3
2020-03-01,2,2
2020-03-08,1,2
2020-03-15,0,6
2020-03-22,0,8
2020-03-29,1,14
2020-04-05,0,11
2020-04-12,4,17
2020-04-19,5,8
2020-04-26,8,7
2020-05-03,14,7
2020-05-10,68,7
2020-05-17,57,6
2020-05-24,53,5
2020-05-31,67,5
2020-06-07,80,6
2020-06-14,100,6
2020-06-21,66,5
2020-06-28,89,4
2020-07-05,71,5
2020-07-12,47,6
2020-07-19,43,5
2020-07-26,33,4
2020-08-02,41,4
2020-08-09,48,3
2020-08-16,35,3
2020-08-23,26,3
2020-08-30,34,4
2020-09-06,29,3
2020-09-13,28,2
2020-09-20,23,3
2020-09-27,19,3
2020-10-04,19,4
2020-10-11,18,3
2020-10-18,15,2
2020-10-25,9,2
2020-11-01,8,2
2020-11-08,9,3
2020-11-15,11,3
2020-11-22,7,3
2020-11-29,6,3
2020-12-06,6,3
2020-12-13,6,2
2020-12-20,4,2
2020-12-27,5,3
2021-01-03,10,2
2021-01-10,15,2
2021-01-17,18,2
2021-01-24,21,2
2021-01-31,27,2
2021-02-07,24,4
2021-02-14,17,2
2021-02-21,18,3
2021-02-28,16,3
2021-03-07,15,4
2021-03-14,14,3
2021-03-21,9,2
2021-03-28,8,3
2021-04-04,10,1
2021-04-11,9,3
2021-04-18,15,3
2021-04-25,7,2
2021-05-02,9,3
2021-05-09,13,2
2021-05-16,13,2
2021-05-23,11,1
2021-05-30,13,4
2021-06-06,16,2
2021-06-13,17,2
2021-06-20,12,2
2021-06-27,10,2
2021-07-04,11,1
2021-07-11,13,2
2021-07-18,27,2
2021-07-25,7,4
2021-08-01,8,2
2021-08-08,17,2
2021-08-15,21,2
2021-08-22,27,2
2021-08-29,7,2
2021-09-05,8,2
2021-09-12,9,2
2021-09-19,9,1
2021-09-26,6,2
2021-10-03,7,2
2021-10-10,22,2
2021-10-17,8,2
2021-10-24,16,2
2021-10-31,12,2
2021-11-07,12,3
2021-11-14,4,2
2021-11-21,5,2
2021-11-28,4,3
2021-12-05,3,2
2021-12-12,2,2
2021-12-19,0,2
2021-12-26,2,6
2022-01-02,4,4
2022-01-09,3,2
2022-01-16,3,3
2022-01-23,3,2
2022-01-30,3,3
