variable,rezago_meses,corr,cv10_r2,n_obs
ActividadIndustrial_mom,0,0.932053223838373,0.5080556580905655,401
ActividadIndustrial_mom,1,0.18682435594515157,-0.10586154537922199,400
ActividadIndustrial_mom,2,-0.15153916392796804,-0.11355222922435707,399
FBCF_mom,0,0.7561442386723275,-0.25625385438600384,401
FBCF_mom,1,0.19168335444275067,-0.10663357075982986,400
FBCF_mom,2,-0.03545898153145649,-0.1004190065317639,399
IMCP_mom,0,0.8303936862384806,0.04841946620495531,400
IMCP_mom,1,0.29232800092600003,-0.13137008213607412,400
IMCP_mom,2,-0.19113826105796813,-0.11085801366332204,399
ANTAD_mom,0,0.5484795450320192,-0.6476563448486484,401
ANTAD_mom,1,0.21624882696595532,-0.1254693922807007,400
ANTAD_mom,2,-0.14046639350129714,-0.11869813000238524,399
AUTOS_mom,0,0.6380258182274968,-0.7925928209412947,401
AUTOS_mom,1,0.2981060589436828,-0.15031767049025363,400
AUTOS_mom,2,-0.0934760576110454,-0.09710487604416132,399
TARJETAS_mom,0,0.7370672823898259,-2.2978580902590577,209
TARJETAS_mom,1,0.31277284183955895,-0.7323661382081076,208
TARJETAS_mom,2,-0.17321539472624836,-0.2200113469364587,207
Desempleo_mom,0,-0.22127799181674673,-0.2936713050594397,257
Desempleo_mom,1,0.0003325814158491936,-0.0751803991211949,256
Desempleo_mom,2,0.149296659603293,-0.24024232931149703,255
IMSS_mom,0,0.4965453321044481,-0.443921757794968,347
IMSS_mom,1,0.11019452738309574,-0.062056054497724514,346
IMSS_mom,2,-0.16159773403398353,-0.36599923863921563,345
EPU_mom,0,-0.001047367659125712,-0.055536128013782424,365
EPU_mom,1,-0.06611461735578489,-0.12343392978334207,364
EPU_mom,2,-0.03875762731611428,-0.05447600644330632,363
INPC_mom,0,0.01578863257213507,-0.12880976802197774,401
INPC_mom,1,-0.017858882713721914,-0.08748281887246204,401
INPC_mom,2,-0.016056833939754486,-0.06303836733615051,401
TC_mom,0,-0.11850331101473999,-0.13120232175572516,401
TC_mom,1,-0.3285162084536063,-0.3175049262614156,401
TC_mom,2,-0.10822782522747931,-0.03841995224020892,401
TIIE_mom,0,0.1041340938437869,-0.09229882844182087,245
TIIE_mom,1,-0.05463624957702659,-0.08988535005183487,244
TIIE_mom,2,-0.08062825700274921,-0.14602642594993548,243
Balanza_mom,0,0.32759471064154105,-0.25238580144995815,401
Balanza_mom,1,0.07863973581474476,-0.08342074108372702,400
Balanza_mom,2,-0.057829542741913736,-0.074470823266287,399
BMV_mom,0,0.08342583206092427,-0.09443360888209597,401
BMV_mom,1,0.15537261225484955,-0.12135817927511483,401
BMV_mom,2,0.14214339377059212,-0.11882347052538171,401
INDPRO_mom,0,0.7183470589967983,-0.39548449077503645,401
INDPRO_mom,1,0.32743665376325304,-0.03636547102238098,401
INDPRO_mom,2,-0.15940695212007017,-0.16179920428786812,401
