variable,rezago_meses,corr,cv10_r2,n_obs
ActividadIndustrial_mom,0,0.8137031480535546,0.505398823738139,323
ActividadIndustrial_mom,1,0.00377905658868335,-0.10233541727065018,322
ActividadIndustrial_mom,2,0.1141924493769537,-0.08763256211117951,321
FBCF_mom,0,0.5338198019312113,0.11969661448783206,323
FBCF_mom,1,0.17332316978602913,-0.10789080847523325,322
FBCF_mom,2,0.3028435468948979,-0.11529889468453694,321
IMCP_mom,0,0.5102001375977738,0.16624110560957192,323
IMCP_mom,1,0.18816238195123372,-0.13421648031081912,322
IMCP_mom,2,0.05275498108334323,-0.10890363720760834,321
ANTAD_mom,0,0.1758035602901002,-0.1299357463804212,323
ANTAD_mom,1,0.14904061987811806,-0.11056745833031752,322
ANTAD_mom,2,0.025350817940436164,-0.08060579003835847,321
AUTOS_mom,0,0.37706150091315754,-0.09120711147960703,323
AUTOS_mom,1,0.19555422603070616,-0.05447231560544792,322
AUTOS_mom,2,0.08645234094376429,-0.09236348620936279,321
TARJETAS_mom,0,0.21592051149025726,-0.061076426227459624,131
TARJETAS_mom,1,-0.07339388058822831,-0.07049341533510514,130
TARJETAS_mom,2,0.022376466235872826,-0.11378486771992069,129
Desempleo_mom,0,-0.16128734583784696,-0.13459218266409198,179
Desempleo_mom,1,-0.03941609906923792,-0.09653725232125128,178
Desempleo_mom,2,-0.1458520187213771,-0.15354897555722463,177
IMSS_mom,0,0.38604674597919236,0.06195202038792451,269
IMSS_mom,1,0.24514047330124827,-0.003043585678427496,268
IMSS_mom,2,0.24799390043386127,0.008916850380957598,267
EPU_mom,0,0.08873752520731125,-0.06678388034615926,287
EPU_mom,1,-0.004228873441373506,-0.09286696190147989,286
EPU_mom,2,-0.0927321177652448,-0.0845089153829691,285
INPC_mom,0,-0.12668749331166812,-0.19128745161104196,323
INPC_mom,1,-0.10821797615646213,-0.15820873425183787,323
INPC_mom,2,0.011237771643890464,-0.09807830467442587,322
TC_mom,0,0.04668874727839641,-0.0881626881682036,323
TC_mom,1,-0.24255511811584812,-0.1951496621679224,323
TC_mom,2,-0.24264427523328497,-0.08952485416300385,322
TIIE_mom,0,0.0647339485634345,-0.0664659257067655,167
TIIE_mom,1,-0.11665659474643711,-0.12162619559438419,166
TIIE_mom,2,-0.12300663131171581,-0.14830770468413018,165
Balanza_mom,0,-0.016613274447884584,-0.10398254455046992,323
Balanza_mom,1,-0.10789163733605868,-0.10551217095152263,322
Balanza_mom,2,0.011868270565472794,-0.08377352193572404,321
BMV_mom,0,0.17176397748138886,-0.11268624471435688,323
BMV_mom,1,0.10513918665718516,-0.07980175745450072,323
BMV_mom,2,0.15551080352986457,-0.09037053776927442,322
INDPRO_mom,0,0.25122402559459794,-0.04768515728675034,323
INDPRO_mom,1,0.22107142610138852,-0.058753592842947656,323
INDPRO_mom,2,0.09147365716352417,-0.08371406727181388,322
